,PosSite_Di,NegSite_Di,Local-Stru,Local-Quat,Local-Qu_1,Local-Qu_2,Quaternary,Quaterna_1,GeodeticSt,Quaterna_2,FaultRecen,FaultSlipD,Earthquake,HorizGravi,HorizMagne,GravityDen,MagneticDe,Heatflow,Geochemist,Local-St_1,Local-Qu_3,Local-Qu_4,Local-Qu_5,Quaterna_3,HorizGra_1,Geodetic_1,Quaterna_4,FaultRec_1,Earthqua_1,Heatflow_E,HorizGra_2,HorizMag_1,Hillshade-,DEM-30m,Fairway
3687,4182.81352956,918.73931933,0.6,0.9,0.3,0.5,0,19,0.88561,-2.04668,2.4725299,0.759941,1.86629,0.0041091,1.07e-05,9,17,65.2522964,-9999.0,0.15,0.18,0.3,0.125,0.1,0.502858,0.77144,0.468836,0.236314,0.353839,18.9022999,0.865803,2,182,1441,51.1775017
4667,11552.7469945,918.3973126400001,0.0,0.0,0.0,0.0,0,53,0.864744,-2.4370401,2.6331699,0.743543,1.87216,0.0032868,1.23e-05,15,20,64.2593002,-9999.0,0.0,0.0,0.0,0.0,0.1,0.350139,0.775435,0.788923,0.403113,0.353442,18.927,0.763944,2,180,1436,38.9122009
4668,11311.3651935,675.29487072,0.0,0.0,0.0,0.0,0,52,0.864744,-2.3893499,2.6133699,0.743862,1.87216,0.0031794,1.25e-05,16,18,64.237999,-9999.0,0.0,0.0,0.0,0.0,0.1,0.350139,0.775468,0.788923,0.403113,0.353442,18.8936996,0.763944,2,180,1436,39.0689011
4669,11070.3659363,439.99170558,0.0,0.0,0.0,0.0,0,51,0.864744,-2.3893499,2.6133699,0.74467,1.86629,0.0030496,1.28e-05,17,17,64.2198029,-9999.0,0.0,0.0,0.0,0.0,0.1,0.328959,0.775502,0.788923,0.403113,0.353839,18.8623009,0.687549,2,180,1436,38.9110985
4670,10829.7747615,236.98573701,0.0,0.0,0.0,0.0,0,50,0.864744,-2.3893499,2.6133699,0.746463,1.87216,0.0029012,1.29e-05,18,16,64.2049026,-9999.0,0.0,0.0,0.0,0.0,0.1,0.30257,0.775535,0.788923,0.403113,0.353442,18.8327999,0.751211,2,180,1436,38.7356987
4671,10589.6194836,209.12144345,0.0,0.0,0.0,0.0,0,49,0.864744,-2.3893499,2.6133699,0.746384,1.87216,0.0027457,1.31e-05,19,14,64.1911011,-9999.0,0.0,0.0,0.0,0.0,0.1,0.30257,0.775568,0.777262,0.397066,0.353442,18.8043995,0.674817,2,180,1436,38.7356987
4672,10349.9304457,395.34961322,0.0,0.0,0.0,0.0,0,48,0.872928,-2.34096,2.59302,0.745599,1.87795,0.0025928,1.32e-05,21,14,64.1791,-9999.0,0.0,0.0,0.0,0.0,0.1,0.273004,0.775601,0.765162,0.39079,0.353051,18.7773991,0.674817,2,180,1436,38.7061005
4673,10110.7408063,627.59131227,0.0,0.0,0.0,0.0,0,47,0.872928,-2.34096,2.59302,0.745901,1.87795,0.0024414,1.32e-05,23,13,64.1706009,-9999.0,0.0,0.0,0.0,0.0,0.1,0.273004,0.775634,0.753133,0.38455,0.353051,18.7523994,0.738479,2,180,1436,38.7061005
4674,9872.08686523,869.7358183899998,0.0,0.0,0.0,0.0,0,46,0.872928,-2.34096,2.59302,0.744798,1.88366,0.0022781,1.32e-05,24,12,64.1654968,-9999.0,0.0,0.0,0.0,0.0,0.1,0.242606,0.775667,0.74118,0.378347,0.352664,18.7292004,0.687549,2,180,1436,38.4959984
4695,5117.07992352,985.20563677,0.0,0.0,0.0,0.0,0,25,0.88561,-2.05566,2.4749701,0.759748,1.8481899,0.0026795,1.07e-05,18,19,64.8121033,-9999.0,0.0,0.0,0.0,0.0,0.1,0.363269,0.772505,0.516692,0.261417,0.355062,18.6788006,0.751211,2,180,1437,40.8268013
4696,4915.84442045,827.43556111,0.0,0.0,0.0,0.0,0,24,0.88561,-2.0304999,2.4651799,0.760086,1.85431,0.002803,1.07e-05,17,19,64.8759003,-9999.0,0.0,0.0,0.0,0.0,0.1,0.393117,0.772314,0.507877,0.2568,0.354649,18.6996002,0.789409,2,180,1437,41.1244011
4697,4719.2738624,723.64982475,0.0,0.0,0.0,0.0,0,23,0.88561,-2.0304999,2.4651799,0.760314,1.85431,0.0029527,1.08e-05,16,18,64.9421005,-9999.0,0.0,0.0,0.0,0.0,0.1,0.393117,0.772123,0.499309,0.252309,0.354649,18.7229004,0.789409,2,180,1437,41.1244011
4698,4527.97584034,698.34699822,0.0,0.0,0.0,0.0,0,22,0.88561,-2.0304999,2.4651799,0.760599,1.85431,0.003137,1.08e-05,14,17,65.0108032,-9999.0,0.0,0.0,0.0,0.0,0.1,0.426264,0.771932,0.491,0.247952,0.354649,18.7488003,0.789409,2,180,1438,41.3522987
4699,4342.64719187,759.41292521,0.6,0.9,0.3,0.5,0,21,0.88561,-2.0304999,2.4651799,0.7606,1.8481899,0.0033628,1.08e-05,12,17,65.0817032,-9999.0,0.15,0.18,0.3,0.125,0.1,0.463114,0.77174,0.482963,0.243734,0.355062,18.7773991,0.840338,2,180,1438,49.4463997
4700,4164.08502019,889.22857131,0.6,0.9,0.3,0.5,0,20,0.88561,-2.0183301,2.4607999,0.760629,1.85431,0.0036367,1.08e-05,11,16,65.1548004,-9999.0,0.15,0.18,0.3,0.125,0.1,0.463114,0.771548,0.475213,0.239665,0.354649,18.8087006,0.865803,2,180,1439,50.0875015
5680,11490.8945506,902.30840353,0.0,0.0,0.0,0.0,0,53,0.864744,-2.4370401,2.6331699,0.744063,1.86629,0.0034243,1.21e-05,14,20,64.2059021,-9999.0,0.0,0.0,0.0,0.0,0.1,0.367551,0.775229,0.788923,0.403113,0.353839,18.8785992,0.763944,2,180,1436,39.0229988
5681,11248.1854979,653.24573756,0.0,0.0,0.0,0.0,0,52,0.864744,-2.3893499,2.6133699,0.744279,1.87216,0.0033336,1.23e-05,15,18,64.1846008,-9999.0,0.0,0.0,0.0,0.0,0.1,0.367551,0.775266,0.788923,0.403113,0.353442,18.8449001,0.763944,2,180,1436,39.1898003
5682,11005.802852,405.33878694,0.0,0.0,0.0,0.0,0,51,0.864744,-2.3893499,2.6133699,0.745656,1.86629,0.0032094,1.25e-05,16,17,64.1666031,-9999.0,0.0,0.0,0.0,0.0,0.1,0.347978,0.775303,0.788923,0.403113,0.353839,18.8131008,0.713014,2,180,1436,39.0438004
5683,10763.7686634,163.91787811,0.0,0.0,0.0,0.0,0,50,0.864744,-2.3893499,2.6133699,0.746719,1.87216,0.0030565,1.27e-05,17,15,64.1520004,-9999.0,0.0,0.0,0.0,0.0,0.1,0.322283,0.77534,0.788923,0.403113,0.353442,18.7831993,0.751211,2,180,1436,38.8744011
5684,10522.1069783,120.1607645,0.0,0.0,0.0,0.0,0,49,0.864744,-2.3893499,2.6133699,0.746967,1.88366,0.002891,1.29e-05,18,14,64.1384964,-9999.0,0.0,0.0,0.0,0.0,0.1,0.322283,0.775377,0.776875,0.396865,0.352664,18.7544003,0.700282,2,180,1436,38.8941994
5685,10280.8440648,356.3820252,0.0,0.0,0.0,0.0,0,48,0.872928,-2.34096,2.59302,0.74719,1.87795,0.0027285,1.3e-05,20,13,64.1267014,-9999.0,0.0,0.0,0.0,0.0,0.1,0.292427,0.775413,0.764768,0.390586,0.353051,18.7269993,0.713014,2,180,1436,38.8446007
5686,10040.0086707,603.80268834,0.0,0.0,0.0,0.0,0,47,0.872928,-2.34096,2.59302,0.746277,1.87216,0.0025711,1.31e-05,22,12,64.1184006,-9999.0,0.0,0.0,0.0,0.0,0.1,0.292427,0.77545,0.752733,0.384343,0.353442,18.7014999,0.713014,2,180,1436,38.8345985
5687,9799.63231603,852.72928003,0.0,0.0,0.0,0.0,0,46,0.872928,-2.34096,2.59302,0.745852,1.87795,0.002405,1.32e-05,23,12,64.1136017,-9999.0,0.0,0.0,0.0,0.0,0.1,0.26067,0.775486,0.740773,0.378136,0.353051,18.6779995,0.687549,2,180,1436,38.6174011
5709,4768.67076036,1046.57278008,0.0,0.0,0.0,0.0,0,24,0.88561,-2.0304999,2.4651799,0.761202,1.85431,0.0026436,1.07e-05,18,18,64.8479996,-9999.0,0.0,0.0,0.0,0.0,0.1,0.377814,0.772212,0.507284,0.256489,0.354649,18.6404991,0.751211,2,180,1437,41.0187988
5710,4565.76830808,966.60956186,0.0,0.0,0.0,0.0,0,23,0.88561,-2.0304999,2.4651799,0.761453,1.8481899,0.002785,1.07e-05,16,18,64.915802,-9999.0,0.0,0.0,0.0,0.0,0.1,0.377814,0.772024,0.498705,0.251993,0.355062,18.6636009,0.802141,2,180,1437,41.0083008
5711,4367.75224404,947.81512234,0.0,0.0,0.0,0.0,0,22,0.88561,-2.0304999,2.4651799,0.761432,1.8481899,0.0029646,1.08e-05,14,17,64.9860992,-9999.0,0.0,0.0,0.0,0.0,0.1,0.411193,0.771836,0.490386,0.24763,0.355062,18.6893997,0.802141,2,180,1438,41.2383003
5712,4175.31784272,993.66642652,0.6,0.9,0.3,0.5,0,21,0.88561,-2.0304999,2.4651799,0.761282,1.86034,0.0031889,1.08e-05,12,16,65.0587006,-9999.0,0.15,0.18,0.3,0.125,0.1,0.448711,0.771649,0.48234,0.243407,0.354241,18.7178993,0.865803,2,181,1438,49.3689003
6692,11434.1747419,953.869638,0.0,0.0,0.0,0.0,0,53,0.864744,-2.4370401,2.6331699,0.744526,1.86034,0.0035593,1.18e-05,13,20,64.1546021,-9999.0,0.0,0.0,0.0,0.0,0.1,0.384829,0.775024,0.788923,0.403113,0.354241,18.8313007,0.713014,2,180,1436,39.1323013
6693,11190.2355404,722.7979142599999,0.0,0.0,0.0,0.0,0,52,0.864744,-2.3893499,2.6133699,0.744328,1.86034,0.0034847,1.21e-05,14,18,64.1335983,-9999.0,0.0,0.0,0.0,0.0,0.1,0.384829,0.775064,0.788923,0.403113,0.354241,18.7971992,0.738479,2,180,1436,39.2890015
6694,10946.5698222,509.90819116,0.0,0.0,0.0,0.0,0,51,0.864744,-2.3893499,2.6133699,0.746166,1.86034,0.0033656,1.23e-05,14,16,64.115799,-9999.0,0.0,0.0,0.0,0.0,0.1,0.366964,0.775104,0.788923,0.403113,0.354241,18.7649994,0.738479,2,180,1436,39.1654015
6695,10703.1962653,350.10841461,0.0,0.0,0.0,0.0,0,50,0.864744,-2.3893499,2.6133699,0.747286,1.86629,0.0032072,1.25e-05,16,15,64.1015015,-9999.0,0.0,0.0,0.0,0.0,0.1,0.34195,0.775145,0.788923,0.403113,0.353839,18.7346992,0.776676,2,180,1436,39.0018005
